时间,氨氮(mg/L),COD(mg/L),总磷(mg/L),气温（℃）,相对湿度（%）,降雨量（mm）,风速（km/h）,光照时长（h）,是否有蓝藻
2月15日,1.571 ,24.433 ,0.159 ,5.5,60,0,7,11.12,无
3月6日,0.902,25.45,0.136,17.5,39,0,3,11.67,无
3月15日,1.46,28.85,0.069,17.5,45,0,15,11.95,无
3月27日,0.884,40.33,0.111,13.5,69,0,3,12.32,无
4月7日,1.413,25.66,0.145,14.5,72,1,11,12.65,无
4月14日,0.666,24.58,0.123,24.5,47,1,19,12.87,无
4月21日,0.921,13.12,0.122,21,46,0,3,13.07,无
4月28日,1.669,52.41,0.219,19.5,32,1,3,13.27,无
4月30日,2.303,37.3,0.139,13.5,59,0,3,13.32,无
5月5日,1.367,35.16,0.135,21.5,59,0,13,13.45,无
5月12日,1.077,37.64,0.133,21,74,0,3,13.62,有
5月18日,0.951 ,18.848 ,0.127 ,26,75,0,11,13.75,无
5月19日,0.526,23.47,0.067,27,84,0,11,13.75,有
5月26日,0.801,38.98,0.168,23,97,12.6,15,13.90 ,无
6月2日,0.561,31.49,0.183,26,54,0,3,14.00 ,有
6月9日,0.697,48.65,0.194,27,64,0,15,14.07,有
6月16日,0.691,68.42,0.284,25,78,1,3,14.12,有
6月25日,0.49,67.91,0.14,24.5,90,0,3,14.12,有
6月26日,0.694 ,24.986 ,0.086 ,23.5,75,1,11,14.12,有
6月30日,0.414,56.15,0.127,27,90,2.2,19,14.10 ,有
7月7日,0.379,33.45,0.181,31,88,1.3,19,14.05,无
7月14日,0.42,37.28,0.186,30.5,93,0,16,13.95,有
7月21日,0.541,37.48,0.176,29.5,94,12.6,13,13.83,有
7月28日,0.613,59.26,0.221,29.5,89,3.9,13,13.70 ,有
8月4日,0.352,49.54,0.195,32.5,73,0,3,13.55,有
8月11日,0.714,49.12,0.291,31,72,0,3,13.37,有
8月18日,0.666,76.45,0.224,31,65,0,3,13.18,有
8月25日,0.521,76.06,0.241,28,71,0,7,13.00 ,有
9月1日,0.404,50.96,0.121,26.5,72,0,9,12.80 ,有
9月8日,0.406,44.69,0.157,29,75,0,9,12.58,有
9月15日,1.137,54.31,0.139,26,81,0,7,12.37,有
9月22日,1.407,47.53,0.121,20.5,89,0,3,12.15,有
10月13日,0.58,42.65,0.237,17,67,0,16,11.53,有
10月20日,0.523,40.36,0.136,13.5,41,0,16,11.25,有
10月27日,0.325,35.95,0.139,19,58,0,16,11.12,有
11月3日,0.452,48.46,0.12,14.5,58,0.2,25,10.92,有
11月22日,0.539 ,35.404 ,0.200 ,17,64,0,14,10.48,无
12月2日,1.932 ,23.718 ,0.167 ,8,32,0,16,10.32,无
5月16日,0.258 ,24.950 ,0.205 ,24.5,68,0,3,13.72,无
5月22日,8.340 ,97.400 ,0.132 ,24.5,89,1,3,13.85,有
6月24日,7.520 ,167.100 ,3.370 ,25.5,84,1,3,14.08,无
7月2日,8.160 ,162.300 ,0.899 ,26.5,86,1,3,14.07,无
7月12日,6.420 ,165.600 ,0.420 ,27.5,92,3.6,3,13.98,有
